Sport,Gender,Event,Medal,Team
Swimming,M,4x200m Freestyle Relay,GOLD,United States
Swimming,M,4x200m Freestyle Relay,SILVER,Australia
Tennis,M,Singles,SILVER,Japan
Tennis,M,Singles,BRONZE,South Africa
Tennis,M,Doubles,SILVER,Japan
Tennis,F,Doubles,GOLD,Great Britain
Tennis,F,Doubles,SILVER,Great Britain
Tennis,F,Doubles,BRONZE,France
Tennis,F,Mixed Doubles,SILVER,Great Britain
Tennis,M,Mixed Doubles,BRONZE,Czechoslovakia
Tennis,F,Mixed Doubles,BRONZE,Czechoslovakia
Tug Of War,M,Tug of War,SILVER,Netherlands
Tug Of War,M,Tug of War,BRONZE,Belgium
Weightlifting,M,Featherweight,GOLD,Belgium
Weightlifting,M,Featherweight,SILVER,Estonia
Weightlifting,M,Featherweight,BRONZE,Switzerland
Weightlifting,M,Lightweight,GOLD,Estonia
Weightlifting,M,Lightweight,SILVER,Belgium
Weightlifting,M,Lightweight,BRONZE,Belgium
Weightlifting,M,Middleweight,GOLD,France
Weightlifting,M,Middleweight,SILVER,Italy
Weightlifting,M,Middleweight,BRONZE,Sweden
Weightlifting,M,Light Heavyweight,GOLD,France
Weightlifting,M,Light Heavyweight,SILVER,Switzerland
Weightlifting,M,Light Heavyweight,BRONZE,Sweden
Weightlifting,M,Heavyweight,GOLD,Italy
Weightlifting,M,Heavyweight,SILVER,Luxembourg
Wrestling,M,Freestyle Lightweight,GOLD,Finland
Wrestling,M,Freestyle Lightweight,SILVER,Sweden
Wrestling,M,Freestyle Middleweight,GOLD,Finland
Wrestling,M,Freestyle Middleweight,SILVER,Finland
Wrestling,M,Freestyle Middleweight,BRONZE,United States
Wrestling,M,Freestyle Light Heavyweight,GOLD,Sweden
Wrestling,M,Freestyle Light Heavyweight,SILVER,Switzerland
Wrestling,M,Freestyle Light Heavyweight,BRONZE,Denmark
Wrestling,M,Freestyle Heavyweight,GOLD,Switzerland
Wrestling,M,Greco-Roman Featherweight,SILVER,Finland
Wrestling,M,Greco-Roman Featherweight,BRONZE,Sweden
Wrestling,M,Greco-Roman Lightweight,SILVER,Finland
Wrestling,M,Greco-Roman Lightweight,BRONZE,Norway
Wrestling,M,Greco-Roman Middleweight,SILVER,Finland
Wrestling,M,Greco-Roman Light Heavyweight,GOLD,Sweden
Wrestling,M,Greco-Roman Heavyweight,SILVER,Denmark
Wrestling,M,Greco-Roman Heavyweight,BRONZE,Finland
Art Contests,M,Designs for Town Planning,SILVER,Hungary
Art Contests,M,Designs for Town Planning,BRONZE,Monaco
Art Contests,M,Literature,SILVER,Denmark
Art Contests,F,Literature,SILVER,Great Britain
Art Contests,M,Literature,BRONZE,France
Art Contests,M,Literature,BRONZE,Ireland
Art Contests,M,Merit for Mountaineering,GOLD,Great Britain
Art Contests,M,Paintings,GOLD,Luxembourg
Art Contests,M,Paintings,SILVER,Ireland
Art Contests,M,Paintings,BRONZE,Netherlands
Art Contests,M,Sculpture,GOLD,Greece
Art Contests,M,Sculpture,SILVER,Luxembourg
Art Contests,M,Sculpture,BRONZE,France
Art Contests,M,Sculpture,BRONZE,Denmark
Alpinism,M,Mixed Alpinism,GOLD,Great Britain
Athletics,M,100m,GOLD,Great Britain
Athletics,M,100m,BRONZE,New Zealand
Athletics,M,800m,SILVER,Switzerland
Athletics,M,1500m,GOLD,Finland
Athletics,M,1500m,SILVER,Switzerland
Athletics,M,10000m,SILVER,Sweden
Athletics,M,Marathon,SILVER,Italy
Athletics,M,110m Hurdles,SILVER,South Africa
Athletics,M,110m Hurdles,BRONZE,Sweden
Athletics,M,400m Hurdles,SILVER,Finland
Athletics,M,3000m Steeplechase,GOLD,Finland
Athletics,M,3000m Steeplechase,SILVER,Finland
Athletics,M,3000m Steeplechase,BRONZE,France
Athletics,M,3000m Team Race,GOLD,Finland
Athletics,M,3000m Team Race,BRONZE,United States
Athletics,M,10km Walk,BRONZE,South Africa
Athletics,M,"Cross-Country, Individual",SILVER,Finland
Athletics,M,"Cross-Country, Individual",BRONZE,United States
Athletics,M,"Cross-Country, Team Race",SILVER,United States
Athletics,M,"Cross-Country, Team Race",BRONZE,France
Athletics,M,4x100m Relay,SILVER,Great Britain
Athletics,M,4x100m Relay,BRONZE,Netherlands
Athletics,M,4x400m Relay,SILVER,Sweden
Athletics,M,High Jump,BRONZE,France
Athletics,M,Long Jump,BRONZE,Norway
Athletics,M,Triple Jump,GOLD,Australia
Athletics,M,Triple Jump,SILVER,Argentina
Athletics,M,Triple Jump,BRONZE,Finland
Athletics,M,Hammer Throw,BRONZE,Great Britain
Athletics,M,Javelin Throw,SILVER,Sweden
Athletics,M,Javelin Throw,BRONZE,United States
Athletics,M,Pentathlon,BRONZE,United States
Athletics,M,Decathlon,BRONZE,Estonia
Bobsleigh,M,4-Man Bobsled,GOLD,Switzerland
Bobsleigh,M,4-Man Bobsled,SILVER,Great Britain
Bobsleigh,M,4-Man Bobsled,BRONZE,Belgium
Boxing,M,Flyweight,SILVER,Great Britain
Boxing,M,Flyweight,BRONZE,United States
Boxing,M,Bantamweight,BRONZE,France
Boxing,M,Featherweight,BRONZE,Argentina
Boxing,M,Lightweight,GOLD,Denmark
Boxing,M,Lightweight,SILVER,Argentina
Boxing,M,Welterweight,GOLD,Belgium
Boxing,M,Welterweight,SILVER,Argentina
Boxing,M,Welterweight,BRONZE,Canada
Boxing,M,Middleweight,SILVER,Great Britain
Boxing,M,Middleweight,BRONZE,Belgium
Boxing,M,Light Heavyweight,GOLD,Great Britain
Boxing,M,Light Heavyweight,SILVER,Denmark
Boxing,M,Light Heavyweight,BRONZE,Norway
Boxing,M,Heavyweight,GOLD,Norway
Boxing,M,Heavyweight,BRONZE,Argentina
Cross-Country Skiing,M,18km,GOLD,Norway
Cross-Country Skiing,M,18km,SILVER,Norway
Cross-Country Skiing,M,18km,BRONZE,Finland
Cross-Country Skiing,M,50km,GOLD,Norway
Cross-Country Skiing,M,50km,SILVER,Norway
Cross-Country Skiing,M,50km,BRONZE,Norway
Curling,M,Curling,GOLD,Great Britain
Curling,M,Curling,SILVER,Sweden
Curling,M,Curling,BRONZE,France
Cycling,M,Individual Road Race,SILVER,Belgium
Cycling,M,Team Road Race,SILVER,Belgium
Cycling,M,Team Road Race,BRONZE,Sweden
Cycling,M,Individual Sprint,SILVER,Netherlands
Cycling,M,Individual Sprint,BRONZE,France
Cycling,M,2000m Tandem,SILVER,Denmark
Cycling,M,Team Pursuit,SILVER,Poland
Cycling,M,Team Pursuit,BRONZE,Belgium
Cycling,M,50km Track Race,GOLD,Netherlands
Cycling,M,50km Track Race,BRONZE,Great Britain
Diving,M,Plain High Dive,GOLD,Australia
Diving,M,Plain High Dive,BRONZE,Great Britain
Diving,M,Platform,SILVER,United States
Diving,F,Platform,GOLD,United States
Diving,F,Platform,SILVER,United States
Diving,F,Platform,BRONZE,Sweden
Equestrian,M,"Dressage, Individual",BRONZE,France
Equestrian,M,"Jumping, Individual",GOLD,Switzerland
Equestrian,M,"Jumping, Individual",BRONZE,Poland
Equestrian,M,"Jumping, Team",SILVER,Switzerland
Equestrian,M,"Jumping, Team",BRONZE,Portugal
Equestrian,M,"Three-Day Event, Individual",GOLD,Netherlands
Equestrian,M,"Three-Day Event, Individual",SILVER,Denmark
Equestrian,M,"Three-Day Event, Individual",BRONZE,United States
Equestrian,M,"Three-Day Event, Team",GOLD,Netherlands
Equestrian,M,"Three-Day Event, Team",SILVER,Sweden
Equestrian,M,"Three-Day Event, Team",BRONZE,Italy
Fencing,M,"Foil, Individual",BRONZE,Belgium
Fencing,F,"Foil, Individual",GOLD,Denmark
Fencing,F,"Foil, Individual",SILVER,Great Britain
Fencing,F,"Foil, Individual",BRONZE,Denmark
Fencing,M,"Foil, Team",GOLD,France
Fencing,M,"Foil, Team",SILVER,Belgium
Fencing,M,"Foil, Team",BRONZE,Hungary
Fencing,M,"Épée, Individual",BRONZE,Sweden
Fencing,M,"Épée, Team",BRONZE,Italy
Fencing,M,"Sabre, Team",SILVER,Hungary
Figure Skating,M,Individual,SILVER,Austria
Figure Skating,M,Individual,BRONZE,Switzerland
Figure Skating,F,Individual,GOLD,Austria
Figure Skating,F,Individual,SILVER,United States
Figure Skating,F,Individual,BRONZE,Great Britain
Figure Skating,M,Pairs,GOLD,Austria
Figure Skating,F,Pairs,GOLD,Austria
Figure Skating,M,Pairs,SILVER,Finland
Figure Skating,F,Pairs,SILVER,Finland
Figure Skating,M,Pairs,BRONZE,France
Figure Skating,F,Pairs,BRONZE,France
Football,M,Team Soccer,GOLD,Uruguay
Football,M,Team Soccer,SILVER,Switzerland
Football,M,Team Soccer,BRONZE,Sweden
Gymnastics,M,Individual All-around,GOLD,Yugoslavia
Gymnastics,M,Individual All-around,SILVER,Czechoslovakia
Gymnastics,M,Individual All-around,BRONZE,Czechoslovakia
Gymnastics,M,Team All-Around,SILVER,France
Gymnastics,M,Team All-Around,BRONZE,Switzerland
Gymnastics,M,Horse Vault,SILVER,Czechoslovakia
Gymnastics,M,Horse Vault,BRONZE,Czechoslovakia
Gymnastics,M,Side Horse,GOLD,France
Gymnastics,M,Side Horse,SILVER,France
Gymnastics,M,Parallel Bars,GOLD,Switzerland
Gymnastics,M,Parallel Bars,SILVER,Czechoslovakia
Gymnastics,M,Parallel Bars,BRONZE,Italy
Gymnastics,M,Horizontal Bar,GOLD,Yugoslavia
Gymnastics,M,Horizontal Bar,SILVER,Switzerland
Gymnastics,M,Horizontal Bar,BRONZE,France
Gymnastics,M,Rings,GOLD,Italy
Gymnastics,M,Rings,SILVER,Czechoslovakia
Gymnastics,M,Rings,BRONZE,Czechoslovakia
Gymnastics,M,Pommelled Horse,SILVER,Switzerland
Gymnastics,M,Pommelled Horse,BRONZE,Switzerland
Gymnastics,M,Rope climbing,GOLD,Czechoslovakia
Gymnastics,M,Rope climbing,SILVER,France
Gymnastics,M,Rope climbing,BRONZE,Switzerland
Gymnastics,M,Rope climbing,BRONZE,Czechoslovakia
Ice Hockey,M,Ice Hockey,BRONZE,Great Britain
Military Ski Patrol,M,Military Ski Patrol,GOLD,Switzerland
Military Ski Patrol,M,Military Ski Patrol,SILVER,Finland
Military Ski Patrol,M,Military Ski Patrol,BRONZE,France
Nordic Combined,M,Individual (18km+Jump),GOLD,Norway
Nordic Combined,M,Individual (18km+Jump),SILVER,Norway
Nordic Combined,M,Individual (18km+Jump),BRONZE,Norway
Polo,M,Polo,GOLD,Argentina
Rowing,M,Single Sculls,BRONZE,Switzerland
Rowing,M,Double Sculls,SILVER,France
Rowing,M,Double Sculls,BRONZE,Switzerland
Rowing,M,Coxless Pairs,GOLD,Netherlands
Rowing,M,Coxless Pairs,SILVER,France
Rowing,M,Coxless Fours,SILVER,Canada
Rowing,M,Coxless Fours,BRONZE,Switzerland
Rowing,M,Coxed Pairs,GOLD,Switzerland
Rowing,M,Coxed Pairs,SILVER,Italy
Rowing,M,Coxed Pairs,BRONZE,United States
Rowing,M,Coxed Fours,BRONZE,United States
Rowing,M,Coxed Eights,BRONZE,Italy
Rugby,M,Rugby,BRONZE,Romania
Sailing,M,Mixed One Person Dinghy,GOLD,Belgium
Sailing,M,Mixed One Person Dinghy,SILVER,Norway
Sailing,M,Mixed One Person Dinghy,BRONZE,Finland
Sailing,M,6 Meter Class,GOLD,Norway
Sailing,M,6 Meter Class,BRONZE,Netherlands
Sailing,M,8 Meter Class,SILVER,Great Britain
Sailing,M,8 Meter Class,BRONZE,France
Shooting,M,25m Rapid-Fire Pistol,GOLD,United States
Shooting,M,25m Rapid-Fire Pistol,SILVER,Sweden
Shooting,M,25m Rapid-Fire Pistol,BRONZE,Finland
Shooting,M,"50m Small-Bore Rifle, Prone",GOLD,France
Shooting,M,"50m Small-Bore Rifle, Prone",SILVER,United States
Shooting,M,"50m Small-Bore Rifle, Prone",BRONZE,Switzerland
Shooting,M,"100m Running Deer, Single Shot",GOLD,United States
Shooting,M,"100m Running Deer, Single Shot",SILVER,Great Britain
Shooting,M,"100m Running Deer, Single Shot, Team",SILVER,Sweden
Shooting,M,"100m Running Deer, Double Shot",SILVER,Great Britain
Shooting,M,"100m Running Deer, Double Shot, Team",GOLD,Great Britain
Shooting,M,"100m Running Deer, Double Shot, Team",SILVER,Norway
Shooting,M,"100m Running Deer, Double Shot, Team",BRONZE,Sweden
Shooting,M,"400m, 600m, 800m Free Rifle Teams",GOLD,United States
Shooting,M,"400m, 600m, 800m Free Rifle Teams",SILVER,France
Shooting,M,"400m, 600m, 800m Free Rifle Teams",BRONZE,Haiti
Shooting,M,"600m Free Rifle, Prone",GOLD,United States
Shooting,M,"600m Free Rifle, Prone",SILVER,United States
Shooting,M,"600m Free Rifle, Prone",BRONZE,Denmark
Shooting,M,Trap,GOLD,Hungary
Shooting,M,Trap,SILVER,Finland
Shooting,M,Team Trap,BRONZE,Finland
Ski Jumping,M,Normal Hill,GOLD,Norway
Ski Jumping,M,Normal Hill,SILVER,Norway
Ski Jumping,M,Normal Hill,BRONZE,United States
Speed Skating,M,500m,GOLD,United States
Speed Skating,M,500m,SILVER,Norway
Speed Skating,M,500m,BRONZE,Norway
Speed Skating,M,500m,BRONZE,Finland
Speed Skating,M,1500m,GOLD,Finland
Speed Skating,M,1500m,SILVER,Norway
Speed Skating,M,1500m,BRONZE,Norway
Speed Skating,M,5000m,GOLD,Finland
Speed Skating,M,5000m,SILVER,Finland
Speed Skating,M,5000m,BRONZE,Norway
Speed Skating,M,10000m,GOLD,Finland
Speed Skating,M,10000m,SILVER,Finland
Speed Skating,M,10000m,BRONZE,Norway
Speed Skating,M,Allaround,GOLD,Finland
Speed Skating,M,Allaround,SILVER,Norway
Speed Skating,M,Allaround,BRONZE,Finland
Swimming,M,400m Freestyle,SILVER,Sweden
Swimming,M,400m Freestyle,BRONZE,Australia
Swimming,F,400m Freestyle,GOLD,United States
Swimming,F,400m Freestyle,SILVER,United States
Swimming,F,400m Freestyle,BRONZE,United States
Swimming,M,1500m Freestyle,GOLD,Australia
Swimming,M,1500m Freestyle,SILVER,Sweden
Swimming,M,100m Backstroke,BRONZE,Hungary
Swimming,F,100m Backstroke,GOLD,United States
Swimming,F,100m Backstroke,SILVER,Great Britain
Swimming,F,100m Backstroke,BRONZE,United States
Swimming,M,200m Breaststroke,GOLD,United States
Swimming,M,200m Breaststroke,SILVER,Belgium
Swimming,M,200m Breaststroke,BRONZE,United States
Swimming,F,200m Breaststroke,GOLD,Great Britain
Swimming,F,200m Breaststroke,SILVER,United States
Swimming,F,200m Breaststroke,BRONZE,Great Britain
Swimming,M,4x200m Freestyle Relay,BRONZE,Sweden
Tennis,M,Singles,BRONZE,Italy
Tennis,F,Singles,GOLD,United States
Tennis,F,Doubles,GOLD,United States
Tennis,F,Doubles,BRONZE,Great Britain
Tennis,M,Mixed Doubles,GOLD,United States
Tennis,F,Mixed Doubles,GOLD,United States
Tennis,M,Mixed Doubles,SILVER,United States
Tennis,F,Mixed Doubles,SILVER,United States
Tennis,M,Mixed Doubles,BRONZE,Netherlands
Tennis,F,Mixed Doubles,BRONZE,Netherlands
Water Polo,M,Team,GOLD,France
Weightlifting,M,Featherweight,GOLD,Italy
Weightlifting,M,Featherweight,SILVER,Austria
Weightlifting,M,Lightweight,GOLD,France
Weightlifting,M,Lightweight,SILVER,Austria
Weightlifting,M,Lightweight,BRONZE,Czechoslovakia
Weightlifting,M,Middleweight,GOLD,Italy
Weightlifting,M,Middleweight,SILVER,Estonia
Weightlifting,M,Middleweight,BRONZE,Estonia
Weightlifting,M,Light Heavyweight,BRONZE,Austria
Weightlifting,M,Heavyweight,BRONZE,Estonia
Wrestling,M,Freestyle Bantamweight,GOLD,Finland
Wrestling,M,Freestyle Bantamweight,SILVER,Finland
Wrestling,M,Freestyle Featherweight,BRONZE,Japan
Wrestling,M,Freestyle Lightweight,SILVER,Finland
Wrestling,M,Freestyle Lightweight,BRONZE,Finland
Wrestling,M,Freestyle Welterweight,GOLD,Switzerland
Wrestling,M,Freestyle Welterweight,SILVER,Finland
Wrestling,M,Freestyle Welterweight,BRONZE,Switzerland
Wrestling,M,Freestyle Middleweight,GOLD,Switzerland
Wrestling,M,Freestyle Middleweight,SILVER,Belgium
Wrestling,M,Freestyle Middleweight,BRONZE,Finland
Wrestling,M,Freestyle Light Heavyweight,GOLD,United States
Wrestling,M,Freestyle Light Heavyweight,SILVER,Sweden
Wrestling,M,Freestyle Light Heavyweight,BRONZE,Switzerland
Wrestling,M,Freestyle Heavyweight,SILVER,Switzerland
Wrestling,M,Greco-Roman Bantamweight,GOLD,Estonia
Wrestling,M,Greco-Roman Bantamweight,SILVER,Finland
Wrestling,M,Greco-Roman Bantamweight,BRONZE,Finland
Wrestling,M,Greco-Roman Lightweight,SILVER,Hungary
Wrestling,M,Greco-Roman Middleweight,BRONZE,Estonia
Wrestling,M,Greco-Roman Light Heavyweight,BRONZE,Finland
Wrestling,M,Greco-Roman Heavyweight,GOLD,France
Wrestling,M,Greco-Roman Heavyweight,BRONZE,Hungary
Art Contests,M,Architectural Design,GOLD,Netherlands
Art Contests,M,Architectural Design,SILVER,Denmark
Art Contests,M,Architectural Design,BRONZE,France
Art Contests,M,Designs for Town Planning,GOLD,Germany
Art Contests,M,Designs for Town Planning,SILVER,France
Art Contests,M,Designs for Town Planning,BRONZE,Germany
Art Contests,M,Drawings and Water-Colours,GOLD,Luxembourg
Art Contests,M,Drawings and Water-Colours,SILVER,France
Art Contests,M,Drawings and Water-Colours,BRONZE,Poland
Art Contests,M,Graphic Art,GOLD,Great Britain
Art Contests,M,Graphic Art,SILVER,Switzerland
Art Contests,M,Graphic Art,BRONZE,Germany
Art Contests,M,Literature Dramatic Works,SILVER,Italy
Art Contests,M,Literature Epic Works,GOLD,Hungary
Art Contests,M,Literature Epic Works,SILVER,Germany
Art Contests,M,Literature Epic Works,BRONZE,Netherlands
Art Contests,F,Literature Epic Works,BRONZE,Netherlands
Art Contests,M,Lyrics,GOLD,Poland
Art Contests,M,Lyrics,SILVER,Germany
Art Contests,M,Lyrics,BRONZE,Denmark
Art Contests,M,Music: Composition for Orchestra,BRONZE,Denmark
Art Contests,M,Paintings,GOLD,Netherlands
Art Contests,F,Paintings,SILVER,Great Britain
Art Contests,M,Paintings,BRONZE,Germany
Art Contests,M,Sculpture,GOLD,France
Art Contests,M,Sculpture,SILVER,Switzerland
Art Contests,F,Sculpture,BRONZE,Germany
Art Contests,M,Sculpture Medals,GOLD,Austria
Art Contests,M,Sculpture Medals,SILVER,Netherlands
Art Contests,M,Sculpture Medals,BRONZE,Germany
Athletics,M,100m,GOLD,Canada
Athletics,M,100m,SILVER,Great Britain
Athletics,M,100m,BRONZE,Germany
Athletics,F,100m,GOLD,United States
Athletics,F,100m,SILVER,Canada
Athletics,F,100m,BRONZE,Canada
Athletics,M,200m,SILVER,Great Britain
Athletics,M,200m,BRONZE,Germany
Athletics,M,400m,SILVER,Canada
Athletics,M,400m,BRONZE,Germany
Athletics,M,800m,SILVER,Sweden
Athletics,F,800m,GOLD,Germany
Athletics,F,800m,SILVER,Japan
Athletics,F,800m,BRONZE,Sweden
Athletics,M,1500m,BRONZE,Finland
Athletics,M,10000m,SILVER,Finland
Athletics,M,10000m,BRONZE,Sweden
Athletics,M,Marathon,SILVER,Chile
Athletics,M,Marathon,BRONZE,Finland
Athletics,M,110m Hurdles,GOLD,South Africa
Athletics,M,400m Hurdles,GOLD,Great Britain
Athletics,M,3000m Steeplechase,BRONZE,Finland
Athletics,M,4x100m Relay,SILVER,Germany
Athletics,M,4x100m Relay,BRONZE,Great Britain
Athletics,F,4x100m Relay,GOLD,Canada
Athletics,F,4x100m Relay,SILVER,United States
Athletics,F,4x100m Relay,BRONZE,Germany
Athletics,M,4x400m Relay,SILVER,Germany
Athletics,M,4x400m Relay,BRONZE,Canada
Athletics,F,High Jump,GOLD,Canada
Athletics,F,High Jump,SILVER,Netherlands
Athletics,F,High Jump,BRONZE,United States
Athletics,M,Long Jump,SILVER,Haiti
Athletics,M,Triple Jump,GOLD,Japan
Athletics,F,Discus Throw,GOLD,Poland
Athletics,F,Discus Throw,SILVER,United States
Athletics,F,Discus Throw,BRONZE,Sweden
Athletics,M,Hammer Throw,GOLD,Ireland
Athletics,M,Javelin Throw,SILVER,Hungary
Athletics,M,Javelin Throw,BRONZE,Norway
Athletics,M,Shot Put,BRONZE,Germany
Athletics,M,Decathlon,GOLD,Finland
Athletics,M,Decathlon,SILVER,Finland
Bobsleigh,M,5-Man Bobsled,GOLD,United States
Bobsleigh,M,5-Man Bobsled,SILVER,United States
Bobsleigh,M,5-Man Bobsled,BRONZE,Germany
Boxing,M,Flyweight,GOLD,Hungary
Boxing,M,Flyweight,SILVER,France
Boxing,M,Flyweight,BRONZE,Italy
Boxing,M,Bantamweight,GOLD,Italy
Boxing,M,Bantamweight,BRONZE,South Africa
Boxing,M,Featherweight,GOLD,Netherlands
Boxing,M,Featherweight,SILVER,Argentina
Boxing,M,Lightweight,GOLD,Italy
Boxing,M,Lightweight,BRONZE,Sweden
Boxing,M,Welterweight,GOLD,New Zealand
Boxing,M,Middleweight,GOLD,Italy
Boxing,M,Middleweight,SILVER,Czechoslovakia
Boxing,M,Light Heavyweight,GOLD,Argentina
Boxing,M,Light Heavyweight,SILVER,Germany
Boxing,M,Light Heavyweight,BRONZE,Netherlands
Boxing,M,Heavyweight,GOLD,Argentina
Boxing,M,Heavyweight,SILVER,Sweden
Boxing,M,Heavyweight,BRONZE,Denmark
Cross-Country Skiing,M,18km,BRONZE,Norway
Cross-Country Skiing,M,50km,GOLD,Sweden
Cross-Country Skiing,M,50km,SILVER,Sweden
Cross-Country Skiing,M,50km,BRONZE,Sweden
Cycling,M,Individual Road Race,GOLD,Denmark
Cycling,M,Individual Road Race,BRONZE,Sweden
Cycling,M,Team Road Race,GOLD,Denmark
Cycling,M,Individual Sprint,BRONZE,Denmark
Cycling,M,1000m Time Trial,GOLD,Denmark
Cycling,M,1000m Time Trial,SILVER,Netherlands
Cycling,M,1000m Time Trial,BRONZE,Australia
Cycling,M,2000m Tandem,GOLD,Netherlands
Cycling,M,Team Pursuit,SILVER,Netherlands
Cycling,M,Team Pursuit,BRONZE,Great Britain
Diving,M,Platform,SILVER,Egypt
Diving,M,Springboard,BRONZE,Egypt
Equestrian,M,"Dressage, Individual",GOLD,Germany
Equestrian,M,"Dressage, Individual",SILVER,France
Equestrian,M,"Dressage, Team",GOLD,Germany
Equestrian,M,"Dressage, Team",SILVER,Sweden
Equestrian,M,"Dressage, Team",BRONZE,Netherlands
Equestrian,M,"Jumping, Individual",GOLD,Czechoslovakia
Equestrian,M,"Jumping, Individual",SILVER,France
Equestrian,M,"Jumping, Individual",BRONZE,Switzerland
Equestrian,M,"Jumping, Team",GOLD,Spain
Equestrian,M,"Jumping, Team",SILVER,Poland
Equestrian,M,"Jumping, Team",BRONZE,Sweden
Equestrian,M,"Three-Day Event, Individual",SILVER,Netherlands
Equestrian,M,"Three-Day Event, Individual",BRONZE,Germany
Equestrian,M,"Three-Day Event, Team",SILVER,Norway
Equestrian,M,"Three-Day Event, Team",BRONZE,Poland
Fencing,M,"Foil, Individual",BRONZE,Italy
Fencing,F,"Foil, Individual",GOLD,Germany
Fencing,F,"Foil, Individual",BRONZE,Germany
Fencing,M,"Foil, Team",BRONZE,Argentina
Fencing,M,"Épée, Individual",BRONZE,United States
Fencing,M,"Épée, Team",SILVER,France
Fencing,M,"Épée, Team",BRONZE,Portugal
Fencing,M,"Sabre, Team",BRONZE,Poland
Field Hockey,M,Team,GOLD,British India
Field Hockey,M,Team,SILVER,Netherlands
Field Hockey,M,Team,BRONZE,Germany
Figure Skating,M,Individual,BRONZE,Belgium
Figure Skating,F,Individual,GOLD,Norway
Figure Skating,F,Individual,SILVER,Austria
Figure Skating,M,Pairs,GOLD,France
Figure Skating,M,Pairs,SILVER,Austria
Figure Skating,M,Pairs,BRONZE,Austria
Figure Skating,F,Pairs,GOLD,France
Figure Skating,F,Pairs,SILVER,Austria
Figure Skating,F,Pairs,BRONZE,Austria
Football,M,Team Soccer,SILVER,Argentina
Football,M,Team Soccer,BRONZE,Italy
Gymnastics,M,Individual All-around,GOLD,Switzerland
Gymnastics,M,Individual All-around,SILVER,Switzerland
Gymnastics,M,Individual All-around,BRONZE,Yugoslavia
Gymnastics,M,Team All-Around,GOLD,Switzerland
Gymnastics,M,Team All-Around,SILVER,Czechoslovakia
Gymnastics,M,Team All-Around,BRONZE,Yugoslavia
Gymnastics,F,Team All-Around,GOLD,Netherlands
Gymnastics,F,Team All-Around,SILVER,Italy
Gymnastics,F,Team All-Around,BRONZE,Great Britain
Gymnastics,M,Horizontal Bar,GOLD,Switzerland
Gymnastics,M,Horizontal Bar,SILVER,Italy
Gymnastics,M,Horizontal Bar,BRONZE,Switzerland
Gymnastics,M,Parallel Bars,GOLD,Czechoslovakia
Gymnastics,M,Parallel Bars,SILVER,Yugoslavia
Gymnastics,M,Parallel Bars,BRONZE,Switzerland
Gymnastics,M,Horse Vault,GOLD,Switzerland
Gymnastics,M,Horse Vault,BRONZE,Yugoslavia
Gymnastics,M,Pommelled Horse,BRONZE,Finland
Gymnastics,M,Rings,GOLD,Yugoslavia
Ice Hockey,M,Ice Hockey,SILVER,Sweden
Ice Hockey,M,Ice Hockey,BRONZE,Switzerland
Modern Pentathlon,M,Individual,BRONZE,Germany
Rowing,M,Single Sculls,GOLD,Australia
Rowing,M,Double Sculls,SILVER,Canada
Rowing,M,Double Sculls,BRONZE,Austria
Rowing,M,Coxless Pairs,GOLD,Germany
Rowing,M,Coxed Pairs,BRONZE,Belgium
Rowing,M,Coxless Fours,BRONZE,Italy
Rowing,M,Coxed Fours,SILVER,Switzerland
Rowing,M,Coxed Fours,BRONZE,Poland
Sailing,M,Mixed One Person Dinghy,GOLD,Sweden
Sailing,M,6 Meter Class,BRONZE,Estonia
Sailing,M,8 Meter Class,GOLD,France
Sailing,F,8 Meter Class,GOLD,France
Sailing,M,8 Meter Class,SILVER,Netherlands
Sailing,M,8 Meter Class,BRONZE,Sweden
Skeleton,M,Individual,GOLD,United States
Skeleton,M,Individual,SILVER,United States
Skeleton,M,Individual,BRONZE,Great Britain
Ski Jumping,M,Normal Hill,BRONZE,Czechoslovakia
Speed Skating,M,500m,GOLD,Norway
Speed Skating,M,500m,GOLD,Finland
Speed Skating,M,500m,BRONZE,United States
Speed Skating,M,5000m,GOLD,Norway
Swimming,M,100m Freestyle,BRONZE,Japan
Swimming,M,400m Freestyle,GOLD,Argentina
Swimming,M,400m Freestyle,SILVER,Australia
Swimming,M,400m Freestyle,BRONZE,Sweden
Swimming,F,400m Freestyle,SILVER,Netherlands
Swimming,M,1500m Freestyle,GOLD,Sweden
Swimming,M,1500m Freestyle,SILVER,Australia
Swimming,M,1500m Freestyle,BRONZE,United States
Swimming,M,100m Backstroke,BRONZE,United States
Swimming,F,100m Backstroke,GOLD,Netherlands
Swimming,F,100m Backstroke,BRONZE,Great Britain
Swimming,M,200m Breaststroke,GOLD,Japan
Swimming,M,200m Breaststroke,BRONZE,Philippines
Swimming,F,200m Breaststroke,GOLD,Germany
Swimming,F,200m Breaststroke,SILVER,Netherlands
Swimming,F,200m Breaststroke,BRONZE,Germany
Swimming,F,4x100m Freestyle Relay,BRONZE,South Africa
Swimming,M,4x200m Freestyle Relay,SILVER,Japan
Swimming,M,4x200m Freestyle Relay,BRONZE,Canada
Water Polo,M,Team,GOLD,Germany
Water Polo,M,Team,SILVER,Hungary
Weightlifting,M,Featherweight,GOLD,Austria
Weightlifting,M,Featherweight,SILVER,Italy
Weightlifting,M,Featherweight,BRONZE,Germany
Weightlifting,M,Lightweight,GOLD,Germany
Weightlifting,M,Lightweight,GOLD,Austria
