Sport,Gender,Event,Medal,Team
Archery,M,Au cordon doré 33m,GOLD,Belgium
Archery,M,Au cordon doré 33m,SILVER,France
Archery,M,Au cordon doré 33m,BRONZE,France
Archery,M,Au cordon doré 50m,GOLD,France
Archery,M,Au cordon doré 50m,SILVER,Belgium
Archery,M,Au cordon doré 50m,BRONZE,France
Archery,M,Championnat Du Monde,GOLD,France
Archery,M,Championnat Du Monde,SILVER,Belgium
Archery,M,Sur la perche á la herse,GOLD,Belgium
Archery,M,Sur la perche á la herse,SILVER,France
Archery,M,Sur la perche á la herse,SILVER,Belgium
Archery,M,Sur la perche á la pyramide,GOLD,France
Archery,M,Sur la perche á la pyramide,SILVER,France
Archery,M,Sur la perche á la pyramide,BRONZE,Belgium
Athletics,M,60m,GOLD,United States
Athletics,M,60m,SILVER,United States
Athletics,M,60m,BRONZE,Australia
Athletics,M,100m,SILVER,United States
Athletics,M,100m,BRONZE,Australia
Athletics,M,200m,GOLD,United States
Athletics,M,200m,SILVER,British India
Athletics,M,200m,BRONZE,Australia
Athletics,M,400m,BRONZE,Denmark
Athletics,M,800m,GOLD,Great Britain
Athletics,M,800m,SILVER,United States
Athletics,M,800m,BRONZE,United States
Athletics,M,1500m,GOLD,Great Britain
Athletics,M,1500m,SILVER,France
Athletics,M,1500m,BRONZE,United States
Athletics,M,2500m Steeplechase,GOLD,Canada
Athletics,M,2500m Steeplechase,SILVER,Great Britain
Athletics,M,2500m Steeplechase,BRONZE,France
Athletics,M,4000m Steeplechase,GOLD,Great Britain
Athletics,M,4000m Steeplechase,SILVER,Great Britain
Athletics,M,4000m Steeplechase,BRONZE,Great Britain
Athletics,M,Marathon,GOLD,France
Athletics,M,Marathon,SILVER,France
Athletics,M,Marathon,BRONZE,Sweden
Athletics,M,110m Hurdles,SILVER,United States
Athletics,M,110m Hurdles,BRONZE,United States
Athletics,M,200m Hurdles,GOLD,United States
Athletics,M,200m Hurdles,SILVER,British India
Athletics,M,200m Hurdles,BRONZE,United States
Athletics,M,400m Hurdles,GOLD,United States
Athletics,M,400m Hurdles,SILVER,France
Athletics,M,400m Hurdles,BRONZE,Canada
Athletics,M,5000m Team Race,GOLD,Great Britain
Athletics,M,5000m Team Race,GOLD,Australia
Athletics,M,5000m Team Race,SILVER,France
Athletics,M,High Jump,SILVER,Great Britain
Athletics,M,High Jump,BRONZE,Hungary
Athletics,M,Standing High Jump,GOLD,United States
Athletics,M,Standing High Jump,SILVER,United States
Athletics,M,Standing High Jump,BRONZE,United States
Athletics,M,Long Jump,BRONZE,Great Britain
Athletics,M,Standing Long Jump,GOLD,United States
Athletics,M,Standing Long Jump,SILVER,United States
Athletics,M,Standing Long Jump,BRONZE,France
Athletics,M,Pole Vault,BRONZE,Norway
Athletics,M,Triple Jump,SILVER,United States
Athletics,M,Triple Jump,BRONZE,United States
Athletics,M,Standing Triple Jump,GOLD,United States
Athletics,M,Standing Triple Jump,SILVER,United States
Athletics,M,Standing Triple Jump,BRONZE,United States
Athletics,M,Discus Throw,GOLD,Hungary
Athletics,M,Discus Throw,SILVER,Bohemia
Athletics,M,Discus Throw,BRONZE,United States
Athletics,M,Hammer Throw,GOLD,United States
Athletics,M,Hammer Throw,SILVER,United States
Athletics,M,Hammer Throw,BRONZE,United States
Athletics,M,Shot Put,SILVER,United States
Athletics,M,Shot Put,BRONZE,United States
Cricket,M,Cricket,GOLD,Great Britain
Cricket,M,Cricket,SILVER,France
Cricket,M,Cricket,SILVER,Great Britain
Croquet,M,"Croquet, Doubles",GOLD,France
Croquet,M,"Croquet, Singles (1 Ball)",GOLD,France
Croquet,M,"Croquet, Singles (1 Ball)",SILVER,France
Croquet,M,"Croquet, Singles (1 Ball)",BRONZE,France
Croquet,M,"Croquet, Singles (2 Balls)",GOLD,France
Croquet,M,"Croquet, Singles (2 Balls)",SILVER,France
Croquet,M,"Croquet, Singles (2 Balls)",BRONZE,France
Cycling,M,Individual Sprint,GOLD,France
Cycling,M,Individual Sprint,SILVER,France
Cycling,M,Individual Sprint,BRONZE,United States
Cycling,M,Points Race,GOLD,Italy
Cycling,M,Points Race,SILVER,Germany
Cycling,M,Points Race,BRONZE,France
Cycling,M,25km Track Race,GOLD,France
Cycling,M,25km Track Race,SILVER,France
Cycling,M,25km Track Race,BRONZE,France
Equestrian,M,Hacks and Hunter combined,GOLD,France
Equestrian,M,Hacks and Hunter combined,SILVER,France
Equestrian,M,Hacks and Hunter combined,BRONZE,France
Equestrian,M,High Jump,GOLD,France
Equestrian,M,High Jump,GOLD,Italy
Equestrian,M,High Jump,BRONZE,Belgium
Equestrian,M,"Jumping, Individual",GOLD,Belgium
Equestrian,M,"Jumping, Individual",SILVER,Belgium
Equestrian,M,"Jumping, Individual",BRONZE,France
Equestrian,M,Long Jump,GOLD,Belgium
Equestrian,M,Long Jump,SILVER,Italy
Equestrian,M,Long Jump,BRONZE,France
Equestrian,M,Mail Coach (mixed 4-in-1),GOLD,Belgium
Equestrian,M,Mail Coach (mixed 4-in-1),SILVER,France
Equestrian,M,Mail Coach (mixed 4-in-1),BRONZE,France
Fencing,M,"Foil, Individual",GOLD,France
Fencing,M,"Foil, Individual",SILVER,France
Fencing,M,"Foil, Individual",BRONZE,France
Fencing,M,"Foil, Masters",GOLD,France
Fencing,M,"Foil, Masters",SILVER,France
Fencing,M,"Foil, Masters",BRONZE,France
Fencing,M,"Épée, Individual",GOLD,Cuba
Fencing,M,"Épée, Individual",SILVER,France
Fencing,M,"Épée, Individual",BRONZE,France
Fencing,M,"Épée, Masters",GOLD,France
Fencing,M,"Épée, Masters",SILVER,France
Fencing,M,"Épée, Masters",BRONZE,France
Fencing,M,Épée for Amateurs and Masters (Open),GOLD,France
Fencing,M,Épée for Amateurs and Masters (Open),SILVER,Cuba
Fencing,M,Épée for Amateurs and Masters (Open),BRONZE,France
Fencing,M,"Sabre, Individual",GOLD,France
Fencing,M,"Sabre, Individual",SILVER,France
Fencing,M,"Sabre, Individual",BRONZE,Austria
Fencing,M,"Sabre, Masters",GOLD,Italy
Fencing,M,"Sabre, Masters",SILVER,Italy
Fencing,M,"Sabre, Masters",BRONZE,Austria
Football,M,Team Soccer,GOLD,Great Britain
Football,M,Team Soccer,SILVER,France
Football,M,Team Soccer,BRONZE,Belgium
Football,M,Team Soccer,BRONZE,Great Britain
Golf,M,Individual Men,GOLD,United States
Golf,M,Individual Men,SILVER,Great Britain
Golf,M,Individual Men,BRONZE,Great Britain
Golf,F,Individual Women,GOLD,United States
Golf,F,Individual Women,SILVER,United States
Golf,F,Individual Women,BRONZE,United States
Gymnastics,M,Individual All-around,GOLD,France
Gymnastics,M,Individual All-around,SILVER,France
Gymnastics,M,Individual All-around,BRONZE,France
Basque Pelota,M,2-man Teams with Cesta,GOLD,Spain
Polo,M,Polo,GOLD,Great Britain
Polo,M,Polo,GOLD,United States
Polo,M,Polo,SILVER,United States
Polo,M,Polo,SILVER,Great Britain
Polo,M,Polo,SILVER,France
Polo,M,Polo,BRONZE,Great Britain
Polo,M,Polo,BRONZE,France
Polo,M,Polo,BRONZE,Mexico
Rowing,M,Single Sculls,GOLD,France
Rowing,M,Single Sculls,SILVER,France
Rowing,M,Single Sculls,BRONZE,Great Britain
Rowing,M,Coxed Pairs,GOLD,Netherlands
Rowing,M,Coxed Pairs,SILVER,France
Rowing,M,Coxed Pairs,BRONZE,France
Rowing,M,Coxed Fours,GOLD,France
Rowing,M,Coxed Fours,GOLD,Germany
Rowing,M,Coxed Fours,SILVER,France
Rowing,M,Coxed Fours,SILVER,Netherlands
Rowing,M,Coxed Fours,BRONZE,Germany
Rowing,M,Coxed Eights,GOLD,United States
Rowing,M,Coxed Eights,SILVER,Belgium
Rowing,M,Coxed Eights,BRONZE,Netherlands
Rugby,M,Rugby,GOLD,France
Rugby,M,Rugby,SILVER,Germany
Rugby,M,Rugby,BRONZE,Great Britain
Sailing,M,Open Class,GOLD,Great Britain
Sailing,M,Open Class,SILVER,Germany
