Sport,Gender,Event,Athlete,Medal,Team
Gymnastics,M,Parallel Bars Team,Georg Hilmar,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Fritz Manteuffel,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Alfred Flatow,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Conrad Böcker,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Gustav Flatow,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Hermann Weingärtner,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Gustav Schuft,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Carl Schuhmann,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Karl Neukirch,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Richard Röstel,GOLD,Germany
,,,,,
Gymnastics,M,Parallel Bars Team,Thomas Xenakis,SILVER,Greece
,,,,,
Gymnastics,M,Parallel Bars Team,Petros Persakis,SILVER,Greece
,,,,,
Gymnastics,M,Parallel Bars Team,Nicolaos Andriakopoulos,SILVER,Greece
,,,,,
Gymnastics,M,Parallel Bars Team,Sotirios Athanasopoulos,SILVER,Greece
,,,,,
Gymnastics,M,Parallel Bars Team,Philippos Karvelas,BRONZE,Greece
,,,,,
Gymnastics,M,Parallel Bars Team,Ioannis Mitropoulos,BRONZE,Greece
,,,,,
Gymnastics,M,Parallel Bars Team,Ioannis Khrisaphos,BRONZE,Greece
,,,,,
Gymnastics,M,Parallel Bars Team,Dimitrios Loundras,BRONZE,Greece
,,,,,
Gymnastics,M,Pommelled Horse,Louis Zutter,GOLD,Switzerland
,,,,,
Gymnastics,M,Pommelled Horse,Hermann Weingärtner,SILVER,Germany
,,,,,
Gymnastics,M,Rings,Ioannis Mitropoulos,GOLD,Greece
,,,,,
Gymnastics,M,Rings,Hermann Weingärtner,SILVER,Germany
,,,,,
Gymnastics,M,Rings,Petros Persakis,BRONZE,Greece
,,,,,
Gymnastics,M,Rope climbing,Nicolaos Andriakopoulos,GOLD,Greece
,,,,,
Gymnastics,M,Rope climbing,Thomas Xenakis,SILVER,Greece
,,,,,
Gymnastics,M,Rope climbing,Fritz Hofmann,BRONZE,Germany
,,,,,
Shooting,M,25m Military Pistol,John Paine,GOLD,United States
,,,,,
Shooting,M,25m Military Pistol,Sumner Paine,SILVER,United States
,,,,,
Shooting,M,25m Military Pistol,Nikolaos Dorakis,BRONZE,Greece
,,,,,
Shooting,M,25m Muzzle-Loading Pistol,Ioannis Fragoudis,GOLD,Greece
,,,,,
Shooting,M,25m Muzzle-Loading Pistol,Georgios Orfanidis,SILVER,Greece
,,,,,
Shooting,M,25m Muzzle-Loading Pistol,Holger Nielsen,BRONZE,Denmark
,,,,,
Shooting,M,30m Free Pistol,Sumner Paine,GOLD,United States
,,,,,
Shooting,M,30m Free Pistol,Holger Nielsen,SILVER,Denmark
,,,,,
Shooting,M,30m Free Pistol,Ioannis Fragoudis,BRONZE,Greece
,,,,,
Shooting,M,200m Military Rifle,Pantelis Karasevdas,GOLD,Greece
,,,,,
Shooting,M,200m Military Rifle,Pavlos Pavlidis,SILVER,Greece
,,,,,
