Sport,Gender,Event,Athlete,Medal,Team
,,,,,
Equestrian,F,"Dressage, Individual",Liselott Linsenhoff,BRONZE,Germany
,,,,,
Equestrian,M,"Dressage, Team",Henri Saint Cyr,GOLD,Sweden
,,,,,
Equestrian,M,"Dressage, Team",Gehnåll Persson,GOLD,Sweden
,,,,,
Equestrian,M,"Dressage, Team",Gustaf Adolf Boltenstern Jr.,GOLD,Sweden
,,,,,
Equestrian,F,"Dressage, Team",Liselott Linsenhoff,SILVER,Germany
,,,,,
Equestrian,F,"Dressage, Team",Anneliese Küppers,SILVER,Germany
,,,,,
Equestrian,F,"Dressage, Team",Hannelore Weygand,SILVER,Germany
,,,,,
Equestrian,M,"Dressage, Team",Henri Chammartin,BRONZE,Switzerland
,,,,,
Equestrian,M,"Dressage, Team",Gustav Fischer,BRONZE,Switzerland
,,,,,
Equestrian,M,"Dressage, Team",Gottfried Trachsel,BRONZE,Switzerland
,,,,,
Equestrian,M,"Jumping, Individual",Hans-Günter Winkler,GOLD,Germany
,,,,,
Equestrian,M,"Jumping, Individual",Raimondo d'Inzeo,SILVER,Italy
,,,,,
Equestrian,M,"Jumping, Individual",Piero d'Inzeo,BRONZE,Italy
,,,,,
Equestrian,M,"Jumping, Team",Hans-Günter Winkler,GOLD,Germany
,,,,,
Equestrian,M,"Jumping, Team",Fritz Tiedemann,GOLD,Germany
,,,,,
Equestrian,M,"Jumping, Team",Alfons Lütke-Westhues,GOLD,Germany
,,,,,
Equestrian,M,"Jumping, Team",Piero d'Inzeo,SILVER,Italy
,,,,,
Equestrian,M,"Jumping, Team",Raimondo d'Inzeo,SILVER,Italy
,,,,,
Equestrian,M,"Jumping, Team",Salvatore Oppes,SILVER,Italy
,,,,,
Equestrian,M,"Jumping, Team",Peter Robeson,BRONZE,Great Britain
,,,,,
Equestrian,M,"Jumping, Team",Wilfred White,BRONZE,Great Britain
,,,,,
Equestrian,F,"Jumping, Team",Patricia Smythe,BRONZE,Great Britain
,,,,,
Equestrian,M,"Three-Day Event, Individual",Petrus Kastenman,GOLD,Sweden
,,,,,
Equestrian,M,"Three-Day Event, Individual",August Lütke-Westhues,SILVER,Germany
,,,,,
Equestrian,M,"Three-Day Event, Individual",Frank Weldon,BRONZE,Great Britain
,,,,,
Equestrian,M,"Three-Day Event, Team",Frank Weldon,GOLD,Great Britain
,,,,,
Equestrian,M,"Three-Day Event, Team",Laurence Rook,GOLD,Great Britain
,,,,,
Equestrian,M,"Three-Day Event, Team",Bertie Hill,GOLD,Great Britain
,,,,,
Equestrian,M,"Three-Day Event, Team",August Lütke-Westhues,SILVER,Germany
,,,,,
Equestrian,M,"Three-Day Event, Team",Otto Rothe,SILVER,Germany
,,,,,
Equestrian,M,"Three-Day Event, Team",Klaus Wagner,SILVER,Germany
,,,,,
Equestrian,M,"Three-Day Event, Team",John Rumble,BRONZE,Canada
,,,,,
Equestrian,M,"Three-Day Event, Team",Jim Elder,BRONZE,Canada
,,,,,
Equestrian,M,"Three-Day Event, Team",Brian Herbinson,BRONZE,Canada
,,,,,
Fencing,M,"Foil, Individual",Christian d'Oriola,GOLD,France
,,,,,
Fencing,M,"Foil, Individual",Giancarlo Bergamini,SILVER,Italy
,,,,,
Fencing,M,"Foil, Individual",Antonio Spallino,BRONZE,Italy
,,,,,
Fencing,F,"Foil, Individual",Gillian Sheen,GOLD,Great Britain
,,,,,
Fencing,F,"Foil, Individual",Olga Szabo-Orban,SILVER,Romania
,,,,,
Fencing,F,"Foil, Individual",Renée Garilhe,BRONZE,France
,,,,,
Fencing,M,"Foil, Team",Antonio Spallino,GOLD,Italy
,,,,,
Fencing,M,"Foil, Team",Giancarlo Bergamini,GOLD,Italy
,,,,,
Fencing,M,"Foil, Team",Luigi Carpaneda,GOLD,Italy
,,,,,
Fencing,M,"Foil, Team",Manlio di Rosa,GOLD,Italy
,,,,,
Fencing,M,"Foil, Team",Vittorio Lucarelli,GOLD,Italy
,,,,,
Fencing,M,"Foil, Team",Edoardo Mangiarotti,GOLD,Italy
,,,,,
Fencing,M,"Foil, Team",Christian d'Oriola,SILVER,France
,,,,,
Fencing,M,"Foil, Team",Bernard Baudoux,SILVER,France
,,,,,
Fencing,M,"Foil, Team",Roger Closset,SILVER,France
,,,,,
Fencing,M,"Foil, Team",René Coicaud,SILVER,France
,,,,,
Fencing,M,"Foil, Team",Jacques Lataste,SILVER,France
,,,,,
Fencing,M,"Foil, Team",Claude Netter,SILVER,France
,,,,,
Fencing,M,"Foil, Team",József Gyuricza,BRONZE,Hungary
,,,,,
Fencing,M,"Foil, Team",Fülöp Mihály,BRONZE,Hungary
,,,,,
Fencing,M,"Foil, Team",József Marosi,BRONZE,Hungary
,,,,,
Fencing,M,"Foil, Team",József Sákovits,BRONZE,Hungary
,,,,,
Fencing,M,"Foil, Team",Lajos Somodi,BRONZE,Hungary
,,,,,
Fencing,M,"Foil, Team",Endre Tilli,BRONZE,Hungary
,,,,,
Fencing,M,"Épée, Individual",Carlo Pavesi,GOLD,Italy
,,,,,
Fencing,M,"Épée, Individual",Giuseppe Delfino,SILVER,Italy
,,,,,
Fencing,M,"Épée, Individual",Edoardo Mangiarotti,BRONZE,Italy
,,,,,
Fencing,M,"Épée, Team",Edoardo Mangiarotti,GOLD,Italy
,,,,,
Fencing,M,"Épée, Team",Carlo Pavesi,GOLD,Italy
,,,,,
Fencing,M,"Épée, Team",Alberto Pellegrino,GOLD,Italy
,,,,,
Fencing,M,"Épée, Team",Giorgio Anglesio,GOLD,Italy
,,,,,
Fencing,M,"Épée, Team",Giuseppe Delfino,GOLD,Italy
,,,,,
Fencing,M,"Épée, Team",Franco Bertinetti,GOLD,Italy
,,,,,
Fencing,M,"Épée, Team",József Sákovits,SILVER,Hungary
,,,,,
Fencing,M,"Épée, Team",Ambrus Nagy,SILVER,Hungary
,,,,,
Fencing,M,"Épée, Team",Béla Rerrich,SILVER,Hungary
,,,,,
Fencing,M,"Épée, Team",József Marosi,SILVER,Hungary
,,,,,
Fencing,M,"Épée, Team",Lajos Balthazár,SILVER,Hungary
,,,,,
Fencing,M,"Épée, Team",Barnabás Berzsenyi,SILVER,Hungary
,,,,,
Fencing,M,"Épée, Team",Claude Nigon,BRONZE,France
,,,,,
Fencing,M,"Épée, Team",René Queyroux,BRONZE,France
,,,,,
Fencing,M,"Épée, Team",Armand Mouyal,BRONZE,France
,,,,,
Fencing,M,"Épée, Team",Yves Dreyfus,BRONZE,France
,,,,,
Fencing,M,"Épée, Team",Daniel Dagallier,BRONZE,France
,,,,,
Fencing,M,"Sabre, Individual",Rudolf Kárpáti,GOLD,Hungary
,,,,,
Fencing,M,"Sabre, Individual",Jerzy Pawlowski,SILVER,Poland
,,,,,
Fencing,M,"Sabre, Individual",Lev Kuznetsov,BRONZE,Soviet Union
,,,,,
Fencing,M,"Sabre, Team",Rudolf Kárpáti,GOLD,Hungary
,,,,,
Fencing,M,"Sabre, Team",Pál Kovács,GOLD,Hungary
,,,,,
Fencing,M,"Sabre, Team",Attila Keresztes,GOLD,Hungary
,,,,,
Fencing,M,"Sabre, Team",Dániel Magay,GOLD,Hungary
,,,,,
Fencing,M,"Sabre, Team",Aladár Gerevich,GOLD,Hungary
,,,,,
Fencing,M,"Sabre, Team",Jenõ Hámori,GOLD,Hungary
,,,,,
Fencing,M,"Sabre, Team",Jerzy Pawlowski,SILVER,Poland
,,,,,
Fencing,M,"Sabre, Team",Zygmunt Pawlas,SILVER,Poland
,,,,,
Fencing,M,"Sabre, Team",Marian Zygmunt Kuszewski,SILVER,Poland
,,,,,
Fencing,M,"Sabre, Team",Andrzej Piltkowski,SILVER,Poland
,,,,,
Fencing,M,"Sabre, Team",Wojciech Zablocki,SILVER,Poland
,,,,,
Fencing,M,"Sabre, Team",Ryszard Zub,SILVER,Poland
,,,,,
Fencing,M,"Sabre, Team",Lev Kuznetsov,BRONZE,Soviet Union
,,,,,
Fencing,M,"Sabre, Team",Leonid Bogdanov,BRONZE,Soviet Union
,,,,,
Fencing,M,"Sabre, Team",Yevgeny Cherepovsky,BRONZE,Soviet Union
,,,,,
Fencing,M,"Sabre, Team",Yakov Rylsky,BRONZE,Soviet Union
,,,,,
Fencing,M,"Sabre, Team",David Tyshler,BRONZE,Soviet Union
,,,,,
Field Hockey,M,Team,Leslie Claudius,GOLD,India
,,,,,
Field Hockey,M,Team,Ranganandhan Francis,GOLD,India
,,,,,
Field Hockey,M,Team,Hari Pal Kaushik,GOLD,India
,,,,,
Field Hockey,M,Team,Amir Kumar,GOLD,India
,,,,,
Field Hockey,M,Team,Raghbir Lal,GOLD,India
,,,,,
Field Hockey,M,Team,Shankar Laxman,GOLD,India
,,,,,
Field Hockey,M,Team,Govind Perumal,GOLD,India
,,,,,
Field Hockey,M,Team,Amit Singh Bakhshi,GOLD,India
,,,,,
Field Hockey,M,Team,Bakshish Singh,GOLD,India
,,,,,
Field Hockey,M,Team,Balbir Singh,GOLD,India
,,,,,
Field Hockey,M,Team,Balkrishan Singh,GOLD,India
,,,,,
Field Hockey,M,Team,Gurdev Singh,GOLD,India
,,,,,
Field Hockey,M,Team,Hardayal Singh,GOLD,India
,,,,,
Field Hockey,M,Team,Raghbir Singh Bhola,GOLD,India
,,,,,
Field Hockey,M,Team,Randhir Singh Gentle,GOLD,India
,,,,,
Field Hockey,M,Team,Udham Kullar Singh,GOLD,India
,,,,,
Field Hockey,M,Team,Charles Stephen,GOLD,India
,,,,,
Field Hockey,M,Team,Nasir Ahmad Bunda,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Noor Alam,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Manzur Hussain Atif,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Munir Ahmad Dar,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Abdul Hamid,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Akhtar Hussain,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Zakir Hussain,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Anwar Ahmad Khan,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Habib Ali Kiddi,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Qazi Hussain Mussarat,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Ghulam Rasul,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Habibur Rehman,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Latif-ur Rehman,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Mutih Ullah,SILVER,Pakistan
,,,,,
Field Hockey,M,Team,Hugo Budinger,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Werner Delmes,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Günther Brennecke,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Hugo Dollheiser,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Eberhard Ferstl,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Alfred Lücker,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Helmut Nonn,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Wolfgang Nonn,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Heinz Radzikowski,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Werner Rosenbaum,BRONZE,Germany
,,,,,
Field Hockey,M,Team,Günther Ullerich,BRONZE,Germany
,,,,,
Figure Skating,M,Individual,Hayes Alan Jenkins,GOLD,United States
,,,,,
Figure Skating,M,Individual,Ronald Robertson,SILVER,United States
,,,,,
Figure Skating,M,Individual,David Jenkins,BRONZE,United States
,,,,,
Figure Skating,F,Individual,Tenley Albright,GOLD,United States
,,,,,
Figure Skating,F,Individual,Carol Heiss,SILVER,United States
,,,,,
Figure Skating,F,Individual,Ingrid Wendl,BRONZE,Austria
,,,,,
Figure Skating,M,Pairs,Kurt Oppelt,GOLD,Austria
,,,,,
Figure Skating,F,Pairs,Sissy Schwarz,GOLD,Austria
,,,,,
Figure Skating,M,Pairs,Norris Bowden,SILVER,Canada
,,,,,
Figure Skating,F,Pairs,Frances Dafoe,SILVER,Canada
,,,,,
Figure Skating,M,Pairs,László Nagy,BRONZE,Hungary
,,,,,
Figure Skating,F,Pairs,Marianna Nagy,BRONZE,Hungary
,,,,,
Football,M,Team Soccer,Vladimir Ryshkin,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Sergey Salnikov,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Nikita Simonyan,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Boris Tatushin,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Nikolay Tishchenko,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Eduard Streltsov,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Boris Razinsky,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Mikhail Ogonkov,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Aleksey Paramonov,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Igor Netto,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Anatoly Maslyonkin,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Valentin Ivanov,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Anatoly Ilyin,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Anatoly Isayev,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Yosif Betsa,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Anatoly Bashashkin,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Boris Kuznetsov,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Lev Yashin,GOLD,Soviet Union
,,,,,
Football,M,Team Soccer,Muhamed Mujic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Zlatko Papec,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Petar Radenkovic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Nikola Radovic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Ivan Santek,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Dragoslav Sekularac,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Ljubisa Spajic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Todor Veselinovic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Blagoje Vidinic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Sava Antic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Ibrahim Biogradlic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Mladen Koscak,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Dobroslav Krstic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Luka Liposinovic,SILVER,Yugoslavia
,,,,,
Football,M,Team Soccer,Stefan Bozhkov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Todor Diev,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Georgi Dimitrov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Milcho Goranov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Ivan Petkov Kolev,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Nikola Kovachev,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Manol Manolov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Dimitar Milanov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Georgi Naydenov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Panayot Panayotov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Kiril Rakarov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Gavril Stoyanov,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Krum Yanev,BRONZE,Bulgaria
,,,,,
Football,M,Team Soccer,Yosif Yosifov,BRONZE,Bulgaria
,,,,,
Gymnastics,M,Individual All-around,Viktor Chukarin,GOLD,Soviet Union
,,,,,
Gymnastics,M,Individual All-around,Takashi Ono,SILVER,Japan
,,,,,
Gymnastics,M,Individual All-around,Yuri Titov,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Individual All-around,Larisa Latynina,GOLD,Soviet Union
,,,,,
Gymnastics,F,Individual All-around,Àgnes Keleti,SILVER,Hungary
,,,,,
Gymnastics,F,Individual All-around,Sofiya Muratova,BRONZE,Soviet Union
,,,,,
Gymnastics,M,Team All-Around,Viktor Chukarin,GOLD,Soviet Union
,,,,,
Gymnastics,M,Team All-Around,Albert Azaryan,GOLD,Soviet Union
,,,,,
Gymnastics,M,Team All-Around,Valentin Muratov,GOLD,Soviet Union
,,,,,
Gymnastics,M,Team All-Around,Boris Shakhlin,GOLD,Soviet Union
,,,,,
Gymnastics,M,Team All-Around,Yuri Titov,GOLD,Soviet Union
,,,,,
Gymnastics,M,Team All-Around,Pavel Stolbov,GOLD,Soviet Union
,,,,,
Gymnastics,M,Team All-Around,Nobuyuki Aihara,SILVER,Japan
,,,,,
Gymnastics,M,Team All-Around,Masami Kubota,SILVER,Japan
,,,,,
Gymnastics,M,Team All-Around,Masao Takemoto,SILVER,Japan
,,,,,
Gymnastics,M,Team All-Around,Shinsaku Tsukawaki,SILVER,Japan
,,,,,
Gymnastics,M,Team All-Around,Takashi Ono,SILVER,Japan
,,,,,
Gymnastics,M,Team All-Around,Akira Kono,SILVER,Japan
,,,,,
Gymnastics,M,Team All-Around,Erkki Leimuvirta,BRONZE,Finland
,,,,,
Gymnastics,M,Team All-Around,Berndt Lindfors,BRONZE,Finland
,,,,,
Gymnastics,M,Team All-Around,Onni Lappalainen,BRONZE,Finland
,,,,,
Gymnastics,M,Team All-Around,Raimo Heinonen,BRONZE,Finland
,,,,,
Gymnastics,M,Team All-Around,Kalevi Suoniemi,BRONZE,Finland
,,,,,
Gymnastics,M,Team All-Around,Martti Mansikka,BRONZE,Finland
,,,,,
Gymnastics,F,Team All-Around,Larisa Latynina,GOLD,Soviet Union
,,,,,
Gymnastics,F,Team All-Around,Polina Astakhova,GOLD,Soviet Union
,,,,,
Gymnastics,F,Team All-Around,Lidiya Ivanova-Kalinina,GOLD,Soviet Union
,,,,,
Gymnastics,F,Team All-Around,Tamara Manina,GOLD,Soviet Union
,,,,,
Gymnastics,F,Team All-Around,Sofiya Muratova,GOLD,Soviet Union
,,,,,
Gymnastics,F,Team All-Around,Lyudmila Yegorova,GOLD,Soviet Union
,,,,,
Gymnastics,F,Team All-Around,Àgnes Keleti,SILVER,Hungary
,,,,,
Gymnastics,F,Team All-Around,Olga Lemhényi-Tass,SILVER,Hungary
,,,,,
Gymnastics,F,Team All-Around,Alíz Kertész,SILVER,Hungary
,,,,,
Gymnastics,F,Team All-Around,Erzsébet Gulyás-Köteles,SILVER,Hungary
,,,,,
Gymnastics,F,Team All-Around,Margit Plachy-Korondi,SILVER,Hungary
,,,,,
Gymnastics,F,Team All-Around,Andrea Molnár-Bodó,SILVER,Hungary
,,,,,
Gymnastics,F,Team All-Around,Elena Leusteanu,BRONZE,Romania
,,,,,
Gymnastics,F,Team All-Around,Elena Sacalici,BRONZE,Romania
,,,,,
Gymnastics,F,Team All-Around,Elena Niculescu-Margarit,BRONZE,Romania
,,,,,
Gymnastics,F,Team All-Around,Emilia Lita-Vatasoiu,BRONZE,Romania
,,,,,
Gymnastics,F,Team All-Around,Georgeta Hurmuzachi,BRONZE,Romania
,,,,,
Gymnastics,F,Team All-Around,Sonia Iovan,BRONZE,Romania
,,,,,
Gymnastics,M,Floor Exercises,Valentin Muratov,GOLD,Soviet Union
,,,,,
Gymnastics,M,Floor Exercises,Viktor Chukarin,SILVER,Soviet Union
,,,,,
Gymnastics,M,Floor Exercises,Nobuyuki Aihara,SILVER,Japan
,,,,,
Gymnastics,M,Floor Exercises,William Thoresson,SILVER,Sweden
,,,,,
Gymnastics,F,Floor Exercises,Larisa Latynina,GOLD,Soviet Union
,,,,,
Gymnastics,F,Floor Exercises,Àgnes Keleti,GOLD,Hungary
,,,,,
Gymnastics,F,Floor Exercises,Elena Leusteanu,BRONZE,Romania
,,,,,
Gymnastics,M,Horizontal Bar,Takashi Ono,GOLD,Japan
,,,,,
Gymnastics,M,Horizontal Bar,Yuri Titov,SILVER,Soviet Union
,,,,,
Gymnastics,M,Horizontal Bar,Masao Takemoto,BRONZE,Japan
,,,,,
Gymnastics,M,Parallel Bars,Viktor Chukarin,GOLD,Soviet Union
,,,,,
Gymnastics,M,Parallel Bars,Masami Kubota,SILVER,Japan
,,,,,
Gymnastics,M,Parallel Bars,Masao Takemoto,BRONZE,Japan
,,,,,
Gymnastics,M,Parallel Bars,Takashi Ono,BRONZE,Japan
,,,,,
Gymnastics,F,Uneven Bars,Àgnes Keleti,GOLD,Hungary
,,,,,
Gymnastics,F,Uneven Bars,Larisa Latynina,SILVER,Soviet Union
,,,,,
Gymnastics,F,Uneven Bars,Sofiya Muratova,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Balance Beam,Àgnes Keleti,GOLD,Hungary
,,,,,
Gymnastics,F,Balance Beam,Tamara Manina,SILVER,Soviet Union
,,,,,
Gymnastics,F,Balance Beam,Eva Bosáková-Vechtová,SILVER,Czechoslovakia
,,,,,
Gymnastics,M,Horse Vault,Valentin Muratov,GOLD,Soviet Union
,,,,,
Gymnastics,M,Horse Vault,Helmut Bantz,GOLD,Germany
,,,,,
Gymnastics,M,Horse Vault,Yuri Titov,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Horse Vault,Larisa Latynina,GOLD,Soviet Union
,,,,,
Gymnastics,F,Horse Vault,Tamara Manina,SILVER,Soviet Union
,,,,,
Gymnastics,F,Horse Vault,Olga Lemhényi-Tass,BRONZE,Hungary
,,,,,
Gymnastics,F,Horse Vault,Ann-Sofi Pettersson,BRONZE,Sweden
,,,,,
Gymnastics,M,Pommelled Horse,Boris Shakhlin,GOLD,Soviet Union
,,,,,
Gymnastics,M,Pommelled Horse,Takashi Ono,SILVER,Japan
,,,,,
Gymnastics,M,Pommelled Horse,Viktor Chukarin,BRONZE,Soviet Union
,,,,,
Gymnastics,M,Rings,Albert Azaryan,GOLD,Soviet Union
,,,,,
Gymnastics,M,Rings,Valentin Muratov,SILVER,Soviet Union
,,,,,
Gymnastics,M,Rings,Masao Takemoto,BRONZE,Japan
,,,,,
Gymnastics,M,Rings,Masami Kubota,BRONZE,Japan
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Andrea Molnár-Bodó,GOLD,Hungary
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Margit Plachy-Korondi,GOLD,Hungary
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Erzsébet Gulyás-Köteles,GOLD,Hungary
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Alíz Kertész,GOLD,Hungary
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Olga Lemhényi-Tass,GOLD,Hungary
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Àgnes Keleti,GOLD,Hungary
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Ann-Sofi Pettersson,SILVER,Sweden
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Eva Rönström,SILVER,Sweden
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Karin Lindberg,SILVER,Sweden
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Evy Berggren,SILVER,Sweden
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Maud Karlén,SILVER,Sweden
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Doris Hedberg,SILVER,Sweden
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Lyudmila Yegorova,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Sofiya Muratova,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Tamara Manina,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Lidiya Ivanova-Kalinina,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Polina Astakhova,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Larisa Latynina,BRONZE,Soviet Union
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Danuta Stachow,BRONZE,Poland
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Lidia Szczerbinska-Krolowa,BRONZE,Poland
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Helena Rakoczy,BRONZE,Poland
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Barbara Slizowska,BRONZE,Poland
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Dorota Jokielowa,BRONZE,Poland
,,,,,
Gymnastics,F,Team Exercise with portable Apparatus,Natalia Kotówna-Walowa,BRONZE,Poland
,,,,,
Ice Hockey,M,Ice Hockey,Nikolay Sologubov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Grigory Mkrtychan,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Viktor Nikiforov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Yury Pantyukhov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Nikolay Puchkov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Ivan Tregubov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Dmitry Ukolov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Aleksandr Uvarov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Viktor Shuvalov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Genrikh Sidorenkov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Yevgeny Babich,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Vsevolod Bobrov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Aleksey Guryshev,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Nikolay Khlystov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Yury Krylov,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Alfred Kuchevsky,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Valentin Kuzin,GOLD,Soviet Union
,,,,,
Ice Hockey,M,Ice Hockey,Willard Ikola,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Richard Rodenheiser,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Edward Sampson,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Wendell Anderson,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Wellington Burtnett,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Richard Dougherty,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Eugene Campbell,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Gordon Christian,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,William Cleary,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,John Matchefts,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,John Mayasich,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Daniel McKinnon,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Richard Meredith,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,Weldy Olson,SILVER,United States
,,,,,
Ice Hockey,M,Ice Hockey,John Petroske,SILVER,United States
,,,,,
