country,sport,men,women,total,men_percent,women_percent,gold,silver,bronze  ,total1
CANADA,Modern pentathlon,0,2,2,0,100,0,0,0,0
CANADA,Rowing,12,14,26,46.15384615,53.84615385,0,1,0,1
CANADA,Rugby sevens,0,12,12,0,100,0,0,1,1
CANADA,Sailing,5,4,9,55.55555556,44.44444444,0,0,0,0
CANADA,Shooting,0,2,2,0,100,0,0,0,0
CANADA,Swimming,10,20,30,33.33333333,66.66666667,1,1,4,6
CANADA,Sync. swimming,0,2,2,0,100,0,0,0,0
CANADA,Table tennis,1,1,2,50,50,0,0,0,0
CANADA,Taekwondo,0,1,1,0,100,0,0,0,0
CANADA,Tennis,2,2,4,50,50,0,0,0,0
CANADA,Triathlon,2,3,5,40,60,0,0,0,0
CANADA,Volleyball,16,4,20,80,20,0,0,0,0
CANADA,Water polo,0,0,0,0,0,0,0,0,0
CANADA,Weightlifting,1,1,2,50,50,0,0,0,0
CANADA,Wrestling,2,6,8,25,75,1,0,0,1
