countries,participants,population,Gold,Silver,Bronze,total
Qatar,38,"22,91,368",0,1,0,1
Romania,98,"1,93,72,734",1,1,2,4
Russia,279,"14,34,39,832",19,17,19,55
Rwanda,8,"1,18,82,766",0,0,0,0
Western Sahara,0,"5,84,206",0,0,0,0
Saudi Arabia,9,"3,21,57,974",0,0,0,0
Sudan,6,"4,11,75,541",0,0,0,0
South Sudan,3,"4,11,75,541",0,0,0,0
Senegal,21,"1,55,89,485",0,0,0,0
Solomon Islands,3,"5,94,934",0,0,0,0
Sierra Leone,4,"65,92,102",0,0,0,0
El.Salvador,8,"61,46,419",0,0,0,0
Somaliland,0,0,0,0,0,0
Somalia,2,"1,10,79,013",0,0,0,0
Republic of Serbia,105,"88,12,705",2,4,2,8
Suriname,5,"5,47,610",0,0,0,0
Slovakia,51,"54,29,418",2,2,0,4
Slovenia,62,"20,69,362",1,2,1,4
Sweden,152,"98,51,852",2,6,3,11
Swaziland,2,"13,04,063",0,0,0,0
Syria,7,"1,85,63,595",0,0,0,0
Chad,2,"1,44,96,739",0,0,0,0
Togo,5,"74,96,833",0,0,0,0
Thailand,55,"6,81,46,609",2,2,2,6
Tajikistan,7,"86,69,464",1,0,0,1
Turkmenistan,8,"54,38,670",0,0,0,0
East Timor,3,"12,11,245",0,0,0,0
Trinidad.and.Tobago,32,"13,64,973",0,0,1,1
Tunisia,58,"1,13,75,220",0,0,3,3
Turkey,102,"7,96,22,062",1,3,4,8
Taiwan,59,"2,33,95,600",1,0,2,3
United Republic of Tanzania,7,"86,69,464",0,0,0,0
Uganda,21,"4,03,22,768",0,0,0,0
Ukraine,198,"4,46,24,373",2,5,4,11
Uruguay,17,"34,44,071",0,0,0,0
United.States,552,"32,41,18,787",46,37,38,121
Uzbekistan,69,"3,03,00,446",4,2,7,13
Venezuela,86,"3,15,18,855",0,1,2,3
Vietnam,23,"9,44,44,200",1,1,0,2
Vanuatu,4,"2,70,470",0,0,0,0
West Bank,6,"47,97,239",0,0,0,0
Yemen,5,"2,74,77,600",0,0,0,0
South.Africa,135,"5,49,78,907",2,6,2,10
Zambia,7,"1,67,17,332",0,0,0,0
Zimbabwe,35,"1,59,66,810",0,0,0,0
